disc_year,rv_flag,pul_flag,ptv_flag,tran_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,dkin_flag,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,pl_ratror,st_teff,sy_dist
2007,1,0,0,0,0,0,0,0,0,0,326.03,1.29,,6165.6,0.231,,,,4742,93.1846
2007,1,0,0,0,0,0,0,0,0,0,,1.21,,5434.7,,,,,,93.1846
2009,1,0,0,0,0,0,0,0,0,0,516.22,1.54,,3337.07,0.08,,,,4340,125.321
2009,1,0,0,0,0,0,0,0,0,0,,1.51,,3432.4,,,,,,125.321
2009,1,0,0,0,0,0,0,0,0,0,516.21997,1.53,,4684.8142,0.08,,,,4213,125.321
2008,1,0,0,0,0,0,0,0,0,0,185.84,0.83,,1525.5,0,,,,4813,75.4392
2008,1,0,0,0,0,0,0,0,0,0,,0.68,,1017,,,,,,75.4392
2002,1,0,0,0,0,0,0,0,0,0,1796.4,2.8,,1506.45,0.338,,,,5255,17.9323
2002,1,0,0,0,0,0,0,0,0,0,1766.41,2.83,,1541.46777,0.3674,,,,5314.94,17.9323
2002,1,0,0,0,0,0,0,0,0,0,1766,2.864,,1581.138,0.359,,,,5280,17.9323
2002,1,0,0,0,0,0,0,0,0,0,1773.40002,2.93,,1481.0878,0.37,,,,5338,17.9323
2002,1,0,0,0,0,0,0,0,0,0,,2.73,,1440.663,0.357,,,,,17.9323
2002,1,0,0,0,0,0,0,0,0,0,1765.038901,2.773069,,2586.74645,0.372689,,,,,17.9323
2002,1,0,0,0,0,0,0,0,0,0,1724,2.82,,1554.12,0.37,,,,,17.9323
2002,1,0,0,0,0,0,0,0,0,0,1773.4,2.77,,1474.67,0.369,,,,,17.9323
1996,1,0,0,0,0,0,0,0,0,0,798.5,1.66,,565.7374,0.68,,,,5750,21.1397
1996,1,0,0,0,0,0,0,0,0,0,799.45,1.676,,556.83537,0.6832,,,,5711.97,21.1397
1996,1,0,0,0,0,0,0,0,0,0,798.5,1.681,,533.9544,0.681,,,,5674,21.1397
1996,1,0,0,0,0,0,0,0,0,0,800.8,1.6,,476.7,0.634,,,,5760,21.1397
1996,1,0,0,0,0,0,0,0,0,0,799.5,1.68,,533.93,0.689,,,,5747,21.1397
1996,1,0,0,0,0,0,0,0,0,0,799.5,1.68,,533.93,0.689,,,,,21.1397
2020,1,0,0,0,0,0,0,0,0,0,578.38,1.45,,1373.01872,0.06,,,,4157,124.953
2008,1,0,0,0,0,0,0,0,0,0,993.3,2.6,,3273.5,0.08,,,,4979,76.222
2008,1,0,0,0,0,0,0,0,0,0,,2.54,,3127.3,,,,,,76.222
2008,0,0,0,0,0,0,0,0,1,0,,330,18.647,2543,,,1800,,4060,139.135
2008,0,0,0,0,0,0,0,0,1,0,,330,,4000,,,1700,,4060,139.135
2008,0,0,0,0,0,0,0,0,1,0,,330,,3000,,,1700,,4060,139.135
2008,0,0,0,0,0,0,0,0,1,0,,330,,3000,,,1800,,3993,139.135
2018,1,0,0,0,0,0,0,0,0,0,30.3506,0.19,,289.2253,0.042,,,,4893,95.9863
2010,1,0,0,0,0,0,0,0,0,0,452.8,1.333,,632.46,0.09,,,,5098,72.0691
2010,1,0,0,0,0,0,0,0,0,0,883,2.08,,273.32,0.29,,,,5098,72.0691
2021,0,0,0,0,0,0,0,0,1,0,,118,,1271.31363,,,1450,,3100,128.484
2013,0,0,0,0,0,0,0,0,1,0,,84,,4131.79,,,,,,
2013,0,0,0,0,0,0,0,0,1,0,,,11.209,,,,1600,,3309,33.8281
2013,0,0,0,0,0,0,0,0,1,0,,52,,7786.5,,,,,3530,33.8281
2015,0,0,0,0,0,0,0,0,1,0,,156,16.141,4417.837,,,,,3064,
2010,0,0,0,0,0,0,0,0,1,0,,15,,2383.6,,,,,,
2004,0,0,0,0,0,0,0,0,1,0,,55,,1589.15,,,1250,,,64.308
2004,0,0,0,0,0,0,0,0,1,0,,46,,1271,,,1150,,2825,64.308
2015,0,0,0,0,0,0,0,1,0,0,406,,,591.16084,0.33,,,,29564,396.332
2015,0,0,0,0,0,0,0,1,0,0,416,0.92,,603.877,,,,,,396.332
2016,0,0,0,0,0,0,0,0,1,0,,230,,3972.875,,,,,4045,69.5737
2009,1,0,0,0,0,0,0,0,0,0,335.1,0.995,,3140.03,0.289,,,,6300,44.657
2009,1,0,0,0,0,0,0,0,0,0,345.4,1.01,,2097.678,0.18,,,,,44.657
2009,1,0,0,0,0,0,0,0,0,0,335.10001,0.99,,4392.4106,0.29,,,,6331,44.657
2006,1,0,0,0,0,0,0,0,0,0,269.3,0.87,,2256.5,0.432,,,,4415,73.4603
2008,1,0,0,0,0,0,0,0,0,0,479.1,1.19,,1233.13,0.38,,,,4200,90.6545
1996,1,0,0,0,0,0,0,0,0,0,1076.6,2.1,,778.6835,0.012,,,,5882,13.7967
1996,1,0,0,0,0,0,0,0,0,0,1078,2.1,,804.08,0.032,,,,5872,13.7967
1996,1,0,0,0,0,0,0,0,0,0,1100.8,2.11,,877.17,0.097,,,,,13.7967
1996,1,0,0,0,0,0,0,0,0,0,1083.2,2.11,,826.32,0.049,,,,,13.7967
1996,1,0,0,0,0,0,0,0,0,0,1076.6,2.059,,774.86566,0.016,,,,5829.16,13.7967
2001,1,0,0,0,0,0,0,0,0,0,2391,3.6,,171.621,0.098,,,,5872,13.7967
2001,1,0,0,0,0,0,0,0,0,0,7586,7.73,,425.87,0.005,,,,,13.7967
2001,1,0,0,0,0,0,0,0,0,0,2287,3.404,,157.96072,0.179,,,,5829.16,13.7967
2009,1,0,0,0,0,0,0,0,0,0,14002,11.6,,521.22,0.16,,,,5872,13.7967
2009,1,0,0,0,0,0,0,0,0,0,19000,13.8,,479.92089,0.38,,,,5829.16,13.7967
2015,0,0,0,0,1,0,0,0,1,0,,13.2,,635.66,,,700,,,29.7575
2015,0,0,0,0,1,0,0,0,1,0,14965,14,,,0.21,,,,7295,29.7575
