hostname,default_flag,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_eqt,sy_dist
11 Com,1,Radial Velocity,2007,Xinglong Station,326.03,1.29,,,93.1846
11 Com,0,Radial Velocity,2007,Xinglong Station,,1.21,,,93.1846
11 UMi,0,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,516.22,1.54,,,125.321
11 UMi,0,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,,1.51,,,125.321
11 UMi,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,516.21997,1.53,,,125.321
14 And,1,Radial Velocity,2008,Okayama Astrophysical Observatory,185.84,0.83,,,75.4392
14 And,0,Radial Velocity,2008,Okayama Astrophysical Observatory,,0.68,,,75.4392
14 Her,0,Radial Velocity,2002,W. M. Keck Observatory,1796.4,2.8,,,17.9323
14 Her,0,Radial Velocity,2002,W. M. Keck Observatory,1766.41,2.83,,,17.9323
14 Her,0,Radial Velocity,2002,W. M. Keck Observatory,1766,2.864,,,17.9323
14 Her,0,Radial Velocity,2002,W. M. Keck Observatory,1773.40002,2.93,,,17.9323
14 Her,0,Radial Velocity,2002,W. M. Keck Observatory,,2.73,,,17.9323
14 Her,1,Radial Velocity,2002,W. M. Keck Observatory,1765.038901,2.773069,,,17.9323
14 Her,0,Radial Velocity,2002,W. M. Keck Observatory,1724,2.82,,,17.9323
14 Her,0,Radial Velocity,2002,W. M. Keck Observatory,1773.4,2.77,,,17.9323
16 Cyg B,1,Radial Velocity,1996,Multiple Observatories,798.5,1.66,,,21.1397
16 Cyg B,0,Radial Velocity,1996,Multiple Observatories,799.45,1.676,,,21.1397
16 Cyg B,0,Radial Velocity,1996,Multiple Observatories,798.5,1.681,,,21.1397
16 Cyg B,0,Radial Velocity,1996,Multiple Observatories,800.8,1.6,,,21.1397
16 Cyg B,0,Radial Velocity,1996,Multiple Observatories,799.5,1.68,,,21.1397
16 Cyg B,0,Radial Velocity,1996,Multiple Observatories,799.5,1.68,,,21.1397
17 Sco,1,Radial Velocity,2020,Lick Observatory,578.38,1.45,,,124.953
18 Del,1,Radial Velocity,2008,Okayama Astrophysical Observatory,993.3,2.6,,,76.222
18 Del,0,Radial Velocity,2008,Okayama Astrophysical Observatory,,2.54,,,76.222
1RXS J160929.1-210524,0,Imaging,2008,Gemini Observatory,,330,18.647,1800,139.135
1RXS J160929.1-210524,0,Imaging,2008,Gemini Observatory,,330,,1700,139.135
1RXS J160929.1-210524,1,Imaging,2008,Gemini Observatory,,330,,1700,139.135
1RXS J160929.1-210524,0,Imaging,2008,Gemini Observatory,,330,,1800,139.135
24 Boo,1,Radial Velocity,2018,Okayama Astrophysical Observatory,30.3506,0.19,,,95.9863
24 Sex,1,Radial Velocity,2010,Lick Observatory,452.8,1.333,,,72.0691
24 Sex,1,Radial Velocity,2010,Lick Observatory,883,2.08,,,72.0691
2MASS J04372171+2651014,1,Imaging,2021,Subaru Telescope,,118,,1450,128.484
